Customer_ID,Age,Gender,Category,Category_ID,Item_Purchased,Item_Purchased_ID,Purchase_Amount (USD),Location,Size,Color,Color_Family,Sku_ID,Season,Review_Rating,Subscription Status,Shipping_Type,Discount_Applied,Previous_Purchases,Frequency of Purchases
1,55,Male,Clothing,Clo_M_01,Blouse,Clo_M_Blouse,53,Kentucky,L,Gray,Grayscale,SKU_01,Winter,3.1,Yes,Express,Yes,14,Fortnightly
2,19,Male,Clothing,Clo_M_01,Sweater,Clo_M_Sweater,64,Maine,L,Maroon,Reds and Pinks,SKU_02,Winter,3.1,Yes,Express,Yes,2,Fortnightly
3,50,Male,Clothing,Clo_M_01,Jeans,Clo_M_Jeans,73,Massachusetts,S,Maroon,Reds and Pinks,SKU_03,Spring,3.1,Yes,Free Shipping,Yes,23,Weekly
4,21,Male,Footwear,Footw_M_01,Sandals,Footw_M_Sandals,90,Rhode Island,M,Maroon,Reds and Pinks,SKU_04,Spring,3.5,Yes,Next Day Air,Yes,49,Weekly
5,45,Male,Clothing,Clo_M_01,Blouse,Clo_M_Blouse,49,Oregon,M,Turquoise,Blues and Teals,SKU_05,Spring,2.7,Yes,Free Shipping,Yes,31,Annually
6,46,Male,Footwear,Footw_M_01,Sneakers,Footw_M_Sneakers,20,Wyoming,M,White,Grayscale,SKU_06,Summer,2.9,Yes,Standard,Yes,14,Weekly
7,63,Male,Clothing,Clo_M_01,Shirt,Clo_M_Shirt,85,Montana,M,Gray,Grayscale,SKU_07,Fall,3.2,Yes,Free Shipping,Yes,49,Quarterly
8,27,Male,Clothing,Clo_M_01,Shorts,Clo_M_Shorts,34,Louisiana,L,Charcoal,Grayscale,SKU_08,Winter,3.2,Yes,Free Shipping,Yes,19,Weekly
9,26,Male,Outerwear,OutW_M_01,Coat,OutW_M_Coat,97,West Virginia,L,Silver,Grayscale,SKU_09,Summer,2.6,Yes,Express,Yes,8,Annually
10,57,Male,Accessories,ACC_M_01,Handbag,Acc_M_Handbag,31,Missouri,M,Pink,Reds and Pinks,SKU_10,Spring,4.8,Yes,2-Day Shipping,Yes,4,Quarterly
11,53,Male,Footwear,Footw_M_01,Shoes,Footw_M_Shoes,34,Arkansas,L,Purple,Purples,SKU_11,Fall,4.1,Yes,Store Pickup,Yes,26,Bi-Weekly
12,30,Male,Clothing,Clo_M_01,Shorts,Clo_M_Shorts,68,Hawaii,S,Olive,Greens,SKU_12,Winter,4.9,Yes,Store Pickup,Yes,10,Fortnightly
13,61,Male,Outerwear,OutW_M_01,Coat,OutW_M_Coat,72,Delaware,M,Gold,Yellows and Oranges,SKU_13,Winter,4.5,Yes,Express,Yes,37,Fortnightly
14,65,Male,Clothing,Clo_M_01,Dress,Clo_M_Dress,51,New Hampshire,M,Violet,Purples,SKU_14,Spring,4.7,Yes,Express,Yes,31,Weekly
15,64,Male,Outerwear,OutW_M_01,Coat,OutW_M_Coat,53,New York,L,Teal,Blues and Teals,SKU_15,Winter,4.7,Yes,Free Shipping,Yes,34,Weekly
16,64,Male,Clothing,Clo_M_01,Skirt,Clo_M_Skirt,81,Rhode Island,M,Teal,Blues and Teals,SKU_16,Winter,2.8,Yes,Store Pickup,Yes,8,Monthly
17,25,Male,Accessories,ACC_M_01,Sunglasses,Acc_M_Sunglasses,36,Alabama,S,Gray,Grayscale,SKU_17,Spring,4.1,Yes,Next Day Air,Yes,44,Bi-Weekly
18,53,Male,Clothing,Clo_M_01,Dress,Clo_M_Dress,38,Mississippi,XL,Lavender,Purples,SKU_18,Winter,4.7,Yes,2-Day Shipping,Yes,36,Quarterly
19,52,Male,Clothing,Clo_M_01,Sweater,Clo_M_Sweater,48,Montana,S,Black,Grayscale,SKU_19,Summer,4.6,Yes,Free Shipping,Yes,17,Weekly
20,66,Male,Clothing,Clo_M_01,Pants,Clo_M_Pants,90,Rhode Island,M,Green,Greens,SKU_20,Summer,3.3,Yes,Standard,Yes,46,Bi-Weekly
21,21,Male,Clothing,Clo_M_01,Pants,Clo_M_Pants,51,Louisiana,M,Black,Grayscale,SKU_21,Winter,2.8,Yes,Express,Yes,50,Every 3 Months
22,31,Male,Clothing,Clo_M_01,Pants,Clo_M_Pants,62,North Carolina,M,Charcoal,Grayscale,SKU_22,Winter,4.1,Yes,Store Pickup,Yes,22,Quarterly
23,56,Male,Clothing,Clo_M_01,Pants,Clo_M_Pants,37,California,M,Peach,Yellows and Oranges,SKU_23,Summer,3.2,Yes,Store Pickup,Yes,32,Annually
24,31,Male,Clothing,Clo_M_01,Pants,Clo_M_Pants,88,Oklahoma,XL,White,Grayscale,SKU_24,Winter,4.4,Yes,Express,Yes,40,Weekly
25,18,Male,Outerwear,OutW_M_01,Jacket,OutW_M_Jacket,22,Florida,M,Green,Greens,SKU_25,Fall,2.9,Yes,Store Pickup,Yes,16,Weekly
26,18,Male,Clothing,Clo_M_01,Hoodie,Clo_M_Hoodie,25,Texas,M,Silver,Grayscale,SKU_26,Summer,3.6,Yes,Express,Yes,14,Annually
27,38,Male,Accessories,ACC_M_01,Jewelry,Acc_M_Jewelry,20,Nevada,M,Red,Reds and Pinks,SKU_27,Spring,3.6,Yes,Next Day Air,Yes,13,Annually
28,56,Male,Clothing,Clo_M_01,Shorts,Clo_M_Shorts,56,Kentucky,L,Cyan,Blues and Teals,SKU_28,Summer,5,Yes,Next Day Air,Yes,7,Every 3 Months
29,54,Male,Accessories,ACC_M_01,Handbag,Acc_M_Handbag,94,North Carolina,M,Gray,Blues and Teals,SKU_29,Fall,4.4,Yes,Free Shipping,Yes,41,Every 3 Months
30,31,Male,Clothing,Clo_M_01,Dress,Clo_M_Dress,48,Wyoming,S,Black,Blues and Teals,SKU_30,Fall,4.1,Yes,Store Pickup,Yes,14,Weekly
31,57,Male,Accessories,ACC_M_01,Jewelry,Acc_M_Jewelry,31,North Carolina,L,Black,Grayscale,SKU_31,Winter,4.7,Yes,Standard,Yes,16,Monthly
32,33,Male,Clothing,Clo_M_01,Dress,Clo_M_Dress,79,West Virginia,L,Brown,,SKU_32,Winter,4.7,Yes,Store Pickup,Yes,45,Monthly
33,36,Male,Outerwear,OutW_M_01,Jacket,OutW_M_Jacket,67,Kansas,M,Silver,Grayscale,SKU_33,Summer,4.9,Yes,Free Shipping,Yes,37,Annually
34,54,Male,Clothing,Clo_M_01,Pants,Clo_M_Pants,38,Colorado,L,Green,Greens,SKU_34,Summer,3.3,Yes,Store Pickup,Yes,45,Quarterly
35,36,Male,Clothing,Clo_M_01,T-shirt,Clo_M_T-shirt,91,North Dakota,L,Violet,Purples,SKU_35,Spring,4.6,Yes,2-Day Shipping,Yes,38,Quarterly
36,54,Male,Clothing,Clo_M_01,Blouse,Clo_M_Blouse,33,Massachusetts,M,Cyan,Blues and Teals,SKU_36,Summer,4,Yes,2-Day Shipping,Yes,48,Bi-Weekly
37,35,Male,Clothing,Clo_M_01,T-shirt,Clo_M_T-shirt,69,Illinois,M,Maroon,Reds and Pinks,SKU_37,Winter,4.6,Yes,Free Shipping,Yes,44,Fortnightly
38,35,Male,Clothing,Clo_M_01,Jeans,Clo_M_Jeans,45,Indiana,S,Cyan,Blues and Teals,SKU_38,Summer,2.8,Yes,Store Pickup,Yes,10,Weekly
39,29,Male,Clothing,Clo_M_01,Dress,Clo_M_Dress,37,Florida,M,Red,Reds and Pinks,SKU_39,Winter,3.7,Yes,2-Day Shipping,Yes,44,Every 3 Months
40,70,Male,Clothing,Clo_M_01,Pants,Clo_M_Pants,60,Arizona,S,Turquoise,Blues and Teals,SKU_40,Summer,4.2,Yes,Express,Yes,18,Monthly
41,69,Male,Accessories,ACC_M_01,Handbag,Acc_M_Handbag,76,Louisiana,L,Beige,,SKU_41,Winter,4.6,Yes,Next Day Air,Yes,31,Quarterly
42,67,Male,Accessories,ACC_M_01,Scarf,Acc_M_Scarf,39,Alaska,M,Orange,Yellows and Oranges,SKU_42,Spring,4.5,Yes,Standard,Yes,40,Annually
43,20,Male,Outerwear,OutW_M_01,Coat,OutW_M_Coat,100,Tennessee,M,Beige,,SKU_43,Spring,4.1,Yes,Free Shipping,Yes,15,Annually
44,25,Male,Accessories,ACC_M_01,Scarf,Acc_M_Scarf,69,Ohio,L,Lavender,Purples,SKU_44,Fall,3.7,Yes,Store Pickup,Yes,19,Fortnightly
45,39,Male,Accessories,ACC_M_01,Hat,Acc_M_Hat,53,Kentucky,S,Silver,Grayscale,SKU_45,Summer,4.6,Yes,Free Shipping,Yes,45,Weekly
46,50,Male,Clothing,Clo_M_01,Socks,Clo_M_Socks,21,Tennessee,XL,Indigo,Blues and Teals,SKU_46,Fall,2.9,Yes,2-Day Shipping,Yes,25,Annually
47,57,Male,Clothing,Clo_M_01,Shirt,Clo_M_Shirt,43,California,L,White,Grayscale,SKU_47,Summer,2.9,Yes,Store Pickup,Yes,45,Quarterly
48,55,Male,Accessories,ACC_M_01,Jewelry,Acc_M_Jewelry,54,Montana,M,Charcoal,Grayscale,SKU_48,Winter,4.5,Yes,Free Shipping,Yes,36,Weekly
49,42,Male,Clothing,Clo_M_01,Shirt,Clo_M_Shirt,55,Nevada,M,Orange,Yellows and Oranges,SKU_49,Summer,2.7,Yes,Store Pickup,Yes,38,Monthly
50,68,Male,Clothing,Clo_M_01,Hoodie,Clo_M_Hoodie,30,New Jersey,S,Indigo,Blues and Teals,SKU_50,Spring,4.6,Yes,Next Day Air,Yes,34,Bi-Weekly
51,49,Male,Clothing,Clo_M_01,Blouse,Clo_M_Blouse,28,Maryland,M,Red,Reds and Pinks,SKU_51,Spring,3.7,Yes,Store Pickup,Yes,39,Bi-Weekly
52,59,Male,Clothing,Clo_M_01,Skirt,Clo_M_Skirt,59,Vermont,XL,Gray,Grayscale,SKU_52,Winter,4.7,Yes,2-Day Shipping,Yes,7,Quarterly
53,42,Male,Clothing,Clo_M_01,T-shirt,Clo_M_T-shirt,20,Alaska,M,Green,Greens,SKU_53,Summer,2.6,Yes,Free Shipping,Yes,26,Weekly
54,29,Male,Clothing,Clo_M_01,Skirt,Clo_M_Skirt,24,Mississippi,S,Peach,Yellows and Oranges,SKU_54,Winter,3.9,Yes,Next Day Air,Yes,35,Weekly
55,47,Male,Outerwear,OutW_M_01,Coat,OutW_M_Coat,94,New Mexico,M,Brown,,SKU_55,Summer,4.2,Yes,Next Day Air,Yes,35,Bi-Weekly
56,40,Male,Outerwear,OutW_M_01,Jacket,OutW_M_Jacket,28,South Carolina,M,Lavender,Purples,SKU_56,Winter,3,Yes,2-Day Shipping,Yes,49,Annually
57,41,Male,Accessories,ACC_M_01,Backpack,Acc_M_Backpack,73,Mississippi,XL,Brown,,SKU_57,Summer,4.7,Yes,Store Pickup,Yes,46,Weekly
58,21,Male,Outerwear,OutW_M_01,Coat,OutW_M_Coat,64,West Virginia,M,White,Grayscale,SKU_58,Summer,4.4,Yes,Store Pickup,Yes,17,Fortnightly
59,69,Male,Clothing,Clo_M_01,Hoodie,Clo_M_Hoodie,54,Missouri,M,Charcoal,Grayscale,SKU_59,Summer,4.2,Yes,Free Shipping,Yes,29,Monthly
60,63,Male,Accessories,ACC_M_01,Belt,Acc_M_Belt,79,Louisiana,L,Yellow,Yellows and Oranges,SKU_60,Spring,4.6,Yes,Standard,Yes,4,Weekly
61,50,Male,Clothing,Clo_M_01,Sweater,Clo_M_Sweater,37,Idaho,L,Brown,,SKU_61,Summer,4,Yes,Express,Yes,17,Weekly
63,30,Male,Footwear,Footw_M_01,Sneakers,Footw_M_Sneakers,21,Mississippi,S,Magenta,Reds and Pinks,SKU_62,Spring,3.8,Yes,Free Shipping,Yes,31,Fortnightly
64,33,Male,Accessories,ACC_M_01,Sunglasses,Acc_M_Sunglasses,79,Arizona,L,Lavender,Purples,SKU_63,Winter,2.7,Yes,2-Day Shipping,Yes,43,Weekly
65,65,Male,Footwear,Footw_M_01,Boots,Footw_M_Boots,83,Alabama,S,Green,Greens,SKU_64,Fall,4.8,Yes,Standard,Yes,18,Fortnightly
66,65,Male,Accessories,ACC_M_01,Backpack,Acc_M_Backpack,36,New Jersey,M,Purple,Purples,SKU_65,Spring,4.8,Yes,2-Day Shipping,Yes,44,Every 3 Months
